Vestizione scarpate con manuffati,none,RPA_AGG,15.2.2013,Nina,,272,,
Vestione muri in calce con linee suolo,none,RPA_AGG,41319,Petko,41320,1099,"8,5",
Vestizione scarpate con manufatti al suolo,none,RPA_AGG,15.2.2013,Petko,15.2.2013 ã.,100,1,
Tombino ,none,RPA_AGG,20.2.2013,Petko,20.2.2013 ã.,336,5,
Bridges ,none,RPA_AGG,18.2.2013,Petko,19.2.2013 ã.,,9,
Pertinenza ,none,RPA_AGG,,Petko,,,,
Street  borders ,none,RPA_AGG,26.2.2013,Kremena,,,,
